Year,Total,Gas,Liquids,Solids,Gas Flaring,Total w/o cement and flaring,Cement Production,Per Capita,Total Co2 ,Total C Normalized,Total CO2 Normalized
1962,2686,263,980,1351,44,2638,49,0.86,9673.546,2638000000,9673546000
1963,2833,286,1052,1396,47,2781,51,0.89,10197.927,2781000000,10197927000
1964,2995,316,1137,1435,51,2939,57,0.92,10777.313,2939000000,10777313000
1965,3130,337,1219,1460,55,3071,59,0.94,11261.357,3071000000,11261357000
1966,3288,364,1323,1478,60,3225,63,0.97,11826.075,3225000000,11826075000
1967,3393,392,1423,1448,66,3329,65,0.98,12207.443,3329000000,12207443000
1968,3566,424,1551,1448,73,3496,70,1.01,12819.832,3496000000,12819832000
1969,3780,467,1673,1486,80,3706,74,1.05,13589.902,3706000000,13589902000
1970,4053,493,1839,1556,87,3975,78,1.1,14576.325,3975000000,14576325000
1971,4208,530,1947,1559,88,4124,84,1.12,15122.708,4124000000,15122708000
1972,4376,560,2057,1576,95,4288,89,1.14,15724.096,4288000000,15724096000
1973,4614,588,2241,1581,110,4520,95,1.18,16574.84,4520000000,16574840000
1974,4623,597,2245,1579,107,4528,96,1.16,16604.176,4528000000,16604176000
1975,4596,604,2132,1673,92,4501,95,1.13,16505.167,4501000000,16505167000
1976,4864,630,2314,1710,108,4762,103,1.18,17462.254,4762000000,17462254000
1977,5016,650,2398,1756,104,4908,108,1.19,17997.636,4908000000,17997636000
1978,5074,680,2392,1780,106,4958,116,1.18,18180.986,4958000000,18180986000
1979,5357,721,2544,1875,98,5238,119,1.23,19207.746,5238000000,19207746000
1980,5301,737,2422,1935,86,5180,120,1.19,18995.06,5180000000,18995060000
1981,5138,755,2289,1908,65,5017,121,1.14,18397.339,5017000000,18397339000
1982,5094,738,2196,1976,64,4974,121,1.11,18239.658,4974000000,18239658000
1983,5075,739,2176,1977,58,4950,125,1.08,18151.65,4950000000,18151650000
1984,5258,807,2199,2074,51,5131,128,1.1,18815.377,5131000000,18815377000
1985,5417,835,2186,2216,49,5286,131,1.12,19383.762,5286000000,19383762000
1986,5583,830,2293,2277,46,5446,137,1.13,19970.482,5446000000,19970482000
1987,5725,892,2306,2339,44,5581,143,1.14,20465.527,5581000000,20465527000
1988,5936,935,2412,2387,50,5784,152,1.16,21209.928,5784000000,21209928000
1989,6066,982,2459,2428,41,5910,156,1.16,21671.97,5910000000,21671970000
1990,6074,1026,2492,2359,40,5917,157,1.14,21697.639,5917000000,21697639000
1991,6142,1051,2601,2284,45,5981,161,1.14,21932.327,5981000000,21932327000
1992,6078,1085,2499,2290,36,5910,167,1.11,21671.97,5910000000,21671970000
1993,6070,1117,2515,2225,37,5894,176,1.09,21613.298,5894000000,21613298000
1994,6174,1133,2539,2278,39,5989,186,1.09,21961.663,5989000000,21961663000
1995,6305,1151,2560,2359,39,6109,197,1.1,22401.703,6109000000,22401703000
1996,6448,1198,2626,2382,40,6246,203,1.11,22904.082,6246000000,22904082000
1997,6556,1197,2701,2409,40,6347,209,1.11,23274.449,6347000000,23274449000
1998,6576,1224,2763,2343,36,6366,209,1.1,23344.122,6366000000,23344122000
1999,6561,1258,2741,2310,35,6344,217,1.08,23263.448,6344000000,23263448000
2000,6733,1289,2845,2327,46,6507,226,1.1,23861.169,6507000000,23861169000
2001,6893,1316,2848,2445,47,6656,237,1.11,24407.552,6656000000,24407552000
2002,6994,1342,2832,2518,49,6741,252,1.11,24719.247,6741000000,24719247000
2003,7376,1397,2958,2695,48,7098,276,1.16,26028.366,7098000000,26028366000
2004,7743,1443,3043,2906,54,7446,298,1.2,27304.482,7446000000,27304482000
2005,8042,1485,3068,3108,60,7721,320,1.23,28312.907,7721000000,28312907000
2006,8336,1534,3091,3293,62,7980,356,1.26,29262.66,7980000000,29262660000
2007,8503,1562,3071,3422,66,8121,382,1.27,29779.707,8121000000,29779707000
2008,8776,1630,3103,3587,69,8389,388,1.3,30762.463,8389000000,30762463000
2009,8697,1584,3042,3590,66,8282,415,1.27,30370.094,8282000000,30370094000
2010,9128,1696,3107,3812,67,8682,446,1.32,31836.894,8682000000,31836894000
2011,9503,1756,3134,4055,64,9009,494,1.36,33036.003,9009000000,33036003000
2012,9673,1783,3200,4106,65,9154,519,1.36,33567.718,9154000000,33567718000
2013,9773,1806,3220,4126,68,9220,554,1.36,33809.74,9220000000,33809740000
2014,9855,1823,3280,4117,68,9288,568,1.36,34059.096,9288000000,34059096000
